domain, useragent, type, directory 
www.google.com, *, disallow, /search
www.google.com, *, allow, /search/about
www.google.com, *, disallow, /sdch
www.google.com, *, disallow, /groups
www.google.com, *, disallow, /index.html?
www.google.com, *, disallow, /?
www.google.com, *, allow, /?hl=
www.google.com, *, disallow, /?hl=*&
www.google.com, *, allow, /?hl=*&gws_rd=ssl$
www.google.com, *, disallow, /?hl=*&*&gws_rd=ssl
www.google.com, *, allow, /?gws_rd=ssl$
www.google.com, *, allow, /?pt1=true$
www.google.com, *, disallow, /imgres
www.google.com, *, disallow, /u/
www.google.com, *, disallow, /preferences
www.google.com, *, disallow, /setprefs
www.google.com, *, disallow, /default
www.google.com, *, disallow, /m?
www.google.com, *, disallow, /m/
www.google.com, *, allow, /m/finance
www.google.com, *, disallow, /wml?
www.google.com, *, disallow, /wml/?
www.google.com, *, disallow, /wml/search?
www.google.com, *, disallow, /xhtml?
www.google.com, *, disallow, /xhtml/?
www.google.com, *, disallow, /xhtml/search?
www.google.com, *, disallow, /xml?
www.google.com, *, disallow, /imode?
www.google.com, *, disallow, /imode/?
www.google.com, *, disallow, /imode/search?
www.google.com, *, disallow, /jsky?
www.google.com, *, disallow, /jsky/?
www.google.com, *, disallow, /jsky/search?
www.google.com, *, disallow, /pda?
www.google.com, *, disallow, /pda/?
www.google.com, *, disallow, /pda/search?
www.google.com, *, disallow, /sprint_xhtml
www.google.com, *, disallow, /sprint_wml
www.google.com, *, disallow, /pqa
www.google.com, *, disallow, /palm
www.google.com, *, disallow, /gwt/
www.google.com, *, disallow, /purchases
www.google.com, *, disallow, /local?
www.google.com, *, disallow, /local_url
www.google.com, *, disallow, /shihui?
www.google.com, *, disallow, /shihui/
www.google.com, *, disallow, /products?
www.google.com, *, disallow, /product_
www.google.com, *, disallow, /products_
www.google.com, *, disallow, /products;
www.google.com, *, disallow, /print
www.google.com, *, disallow, /books/
www.google.com, *, disallow, /bkshp?*q=*
www.google.com, *, disallow, /books?*q=*
www.google.com, *, disallow, /books?*output=*
www.google.com, *, disallow, /books?*pg=*
www.google.com, *, disallow, /books?*jtp=*
www.google.com, *, disallow, /books?*jscmd=*
www.google.com, *, disallow, /books?*buy=*
www.google.com, *, disallow, /books?*zoom=*
www.google.com, *, allow, /books?*q=related:*
www.google.com, *, allow, /books?*q=editions:*
www.google.com, *, allow, /books?*q=subject:*
www.google.com, *, allow, /books/about
www.google.com, *, allow, /booksrightsholders
www.google.com, *, allow, /books?*zoom=1*
www.google.com, *, allow, /books?*zoom=5*
www.google.com, *, disallow, /ebooks/
www.google.com, *, disallow, /ebooks?*q=*
www.google.com, *, disallow, /ebooks?*output=*
www.google.com, *, disallow, /ebooks?*pg=*
www.google.com, *, disallow, /ebooks?*jscmd=*
www.google.com, *, disallow, /ebooks?*buy=*
www.google.com, *, disallow, /ebooks?*zoom=*
www.google.com, *, allow, /ebooks?*q=related:*
www.google.com, *, allow, /ebooks?*q=editions:*
www.google.com, *, allow, /ebooks?*q=subject:*
www.google.com, *, allow, /ebooks?*zoom=1*
www.google.com, *, allow, /ebooks?*zoom=5*
www.google.com, *, disallow, /patents?
www.google.com, *, disallow, /patents/download/
www.google.com, *, disallow, /patents/pdf/
www.google.com, *, disallow, /patents/related/
www.google.com, *, disallow, /scholar
www.google.com, *, disallow, /citations?
www.google.com, *, allow, /citations?user=
www.google.com, *, disallow, /citations?*cstart=
www.google.com, *, allow, /citations?view_op=new_profile
www.google.com, *, allow, /citations?view_op=top_venues
www.google.com, *, disallow, /s?
www.google.com, *, allow, /maps?*output=classic*
www.google.com, *, allow, /maps?*file=
www.google.com, *, allow, /maps/api/js?
www.google.com, *, allow, /maps/d/
www.google.com, *, disallow, /maps?
www.google.com, *, disallow, /mapstt?
www.google.com, *, disallow, /mapslt?
www.google.com, *, disallow, /maps/stk/
www.google.com, *, disallow, /maps/br?
www.google.com, *, disallow, /mapabcpoi?
www.google.com, *, disallow, /maphp?
www.google.com, *, disallow, /mapprint?
www.google.com, *, disallow, /maps/api/js/
www.google.com, *, disallow, /maps/api/staticmap?
www.google.com, *, disallow, /maps/api/streetview
www.google.com, *, disallow, /mld?
www.google.com, *, disallow, /staticmap?
www.google.com, *, disallow, /maps/preview
www.google.com, *, disallow, /maps/place
www.google.com, *, disallow, /help/maps/streetview/partners/welcome/
www.google.com, *, disallow, /help/maps/indoormaps/partners/
www.google.com, *, disallow, /lochp?
www.google.com, *, disallow, /center
www.google.com, *, disallow, /ie?
www.google.com, *, disallow, /blogsearch/
www.google.com, *, disallow, /blogsearch_feeds
www.google.com, *, disallow, /advanced_blog_search
www.google.com, *, disallow, /uds/
www.google.com, *, disallow, /chart?
www.google.com, *, disallow, /transit?
www.google.com, *, disallow, /extern_js/
www.google.com, *, disallow, /xjs/
www.google.com, *, disallow, /calendar/feeds/
www.google.com, *, disallow, /calendar/ical/
www.google.com, *, disallow, /cl2/feeds/
www.google.com, *, disallow, /cl2/ical/
www.google.com, *, disallow, /coop/directory
www.google.com, *, disallow, /coop/manage
www.google.com, *, disallow, /trends?
www.google.com, *, disallow, /trends/music?
www.google.com, *, disallow, /trends/hottrends?
www.google.com, *, disallow, /trends/viz?
www.google.com, *, disallow, /trends/embed.js?
www.google.com, *, disallow, /trends/fetchcomponent?
www.google.com, *, disallow, /trends/beta
www.google.com, *, disallow, /musica
www.google.com, *, disallow, /musicad
www.google.com, *, disallow, /musicas
www.google.com, *, disallow, /musicl
www.google.com, *, disallow, /musics
www.google.com, *, disallow, /musicsearch
www.google.com, *, disallow, /musicsp
www.google.com, *, disallow, /musiclp
www.google.com, *, disallow, /urchin_test/
www.google.com, *, disallow, /movies?
www.google.com, *, disallow, /wapsearch?
www.google.com, *, allow, /safebrowsing/diagnostic
www.google.com, *, allow, /safebrowsing/report_badware/
www.google.com, *, allow, /safebrowsing/report_error/
www.google.com, *, allow, /safebrowsing/report_phish/
www.google.com, *, disallow, /reviews/search?
www.google.com, *, disallow, /orkut/albums
www.google.com, *, disallow, /cbk
www.google.com, *, allow, /cbk?output=tile&cb_client=maps_sv
www.google.com, *, disallow, /kh
www.google.com, *, disallow, /vt
www.google.com, *, disallow, /maps/vt
www.google.com, *, disallow, /maps/api/js/authenticationservice.authenticate
www.google.com, *, disallow, /maps/api/js/quotaservice.recordevent
www.google.com, *, disallow, /recharge/dashboard/car
www.google.com, *, disallow, /recharge/dashboard/static/
www.google.com, *, disallow, /profiles/me
www.google.com, *, allow, /profiles
www.google.com, *, disallow, /s2/profiles/me
www.google.com, *, allow, /s2/profiles
www.google.com, *, allow, /s2/oz
www.google.com, *, allow, /s2/photos
www.google.com, *, allow, /s2/search/social
www.google.com, *, allow, /s2/static
www.google.com, *, disallow, /s2
www.google.com, *, disallow, /transconsole/portal/
www.google.com, *, disallow, /gcc/
www.google.com, *, disallow, /aclk
www.google.com, *, disallow, /cse?
www.google.com, *, disallow, /cse/home
www.google.com, *, disallow, /cse/panel
www.google.com, *, disallow, /cse/manage
www.google.com, *, disallow, /tbproxy/
www.google.com, *, disallow, /imesync/
www.google.com, *, disallow, /shenghuo/search?
www.google.com, *, disallow, /support/forum/search?
www.google.com, *, disallow, /reviews/polls/
www.google.com, *, disallow, /hosted/images/
www.google.com, *, disallow, /ppob/?
