domain, useragent 
www.google.com, *
www.google.com, twitterbot
www.google.com, facebookexternalhit
dmu.ac.uk, ﻿ *
dailymail.co.uk, *
dailymail.co.uk, googlebot-news
dailymail.co.uk, mediapartners-google
dailymail.co.uk, mnogosearch/*
dailymail.co.uk, omgilibot/0.3
dailymail.co.uk, webvac
dailymail.co.uk, webzip
dailymail.co.uk, psbot
dailymail.co.uk, daumoa
dailymail.co.uk, ahrefsbot
dailymail.co.uk, crystalsemanticsbot
dailymail.co.uk, ahrefsbot
dailymail.co.uk, ia_archiver
dailymail.co.uk, nutch
amazon.co.uk, *
amazon.co.uk, etaospider
twitter.com, googlebot
twitter.com, slurp
twitter.com, yandex
twitter.com, msnbot
twitter.com, *
instagram.com, *
yahoo.com, *
facebook.com, applebot
facebook.com, baiduspider
facebook.com, bingbot
facebook.com, googlebot
facebook.com, ia_archiver
facebook.com, msnbot
facebook.com, naverbot
facebook.com, seznambot
facebook.com, slurp
facebook.com, teoma
facebook.com, yandex
facebook.com, yeti
facebook.com, applebot
facebook.com, baiduspider
facebook.com, bingbot
facebook.com, googlebot
facebook.com, ia_archiver
facebook.com, msnbot
facebook.com, naverbot
facebook.com, seznambot
facebook.com, slurp
facebook.com, teoma
facebook.com, yandex
facebook.com, yeti
facebook.com, *
