domain, useragent, type, directory 
microsoft.com, *, disallow, /en-us/windows/si/matrix.html
microsoft.com, *, disallow, /*/security/search-results.aspx?
microsoft.com, *, allow, /*/music/*/search/
microsoft.com, *, disallow, /*/search/
microsoft.com, *, allow, /*/music/*/search/
microsoft.com, *, disallow, /*/search/
microsoft.com, *, disallow, /*/newsearch/
microsoft.com, *, disallow, *action=catalogsearch&
microsoft.com, *, allow, *action=catalogsearch&catalog_mode=grid&page=2$
microsoft.com, *, allow, *action=catalogsearch&catalog_mode=grid&page=3$
microsoft.com, *, allow, *action=catalogsearch&catalog_mode=grid&page=4$
microsoft.com, *, allow, *action=catalogsearch&catalog_mode=grid&page=5$
microsoft.com, *, allow, *action=catalogsearch&catalog_mode=grid&page=6$
microsoft.com, *, allow, *action=catalogsearch&catalog_mode=grid&page=7$
microsoft.com, *, allow, *action=catalogsearch&catalog_mode=grid&page=8$
microsoft.com, *, allow, *action=catalogsearch&catalog_mode=list&page=2$
microsoft.com, *, allow, *action=catalogsearch&catalog_mode=list&page=3$
microsoft.com, *, allow, *action=catalogsearch&catalog_mode=list&page=4$
microsoft.com, *, allow, *action=catalogsearch&catalog_mode=list&page=5$
microsoft.com, *, allow, *action=catalogsearch&catalog_mode=list&page=6$
microsoft.com, *, allow, *action=catalogsearch&catalog_mode=list&page=7$
microsoft.com, *, allow, *action=catalogsearch&catalog_mode=list&page=8$
microsoft.com, *, disallow, *action=accessorysearch&product=*&*
microsoft.com, *, allow, *action=accessorysearch&product=*$
microsoft.com, *, disallow, *action=accessorysearch&
microsoft.com, *, allow, *action=accessorysearch&page=2$
microsoft.com, *, allow, *action=accessorysearch&page=3$
microsoft.com, *, allow, *action=accessorysearch&page=4$
microsoft.com, *, allow, *action=accessorysearch&page=5$
microsoft.com, *, allow, *action=accessorysearch&page=6$
microsoft.com, *, allow, *action=accessorysearch&page=7$
microsoft.com, *, allow, *action=accessorysearch&page=8$
microsoft.com, *, disallow, *action=productcompareaction&
microsoft.com, *, disallow, *action=productlinkaction&
microsoft.com, *, disallow, *action=overlay&
microsoft.com, *, disallow, *action=quicksearch&
microsoft.com, *, disallow, *action=writereview
microsoft.com, *, disallow, *rep=hc
microsoft.com, *, disallow, *fe=true
microsoft.com, *, disallow, *?intc=
microsoft.com, *, disallow, *&solved=
microsoft.com, *, allow, /music/*/wal/
microsoft.com, *, disallow, */wal/
microsoft.com, *, disallow, */layout/
microsoft.com, *, disallow, */base-en/
microsoft.com, *, disallow, *action=sitesearch
microsoft.com, *, disallow, *action=productsupportsearch
microsoft.com, *, disallow, *=imgmanager
microsoft.com, *, disallow, */unsubscribe/
microsoft.com, *, disallow, *activityuid=
microsoft.com, *, disallow, /feeds/technet/fr-fr/screenshot/screenshot%20surface.jpg
microsoft.com, *, disallow, /imaginecup/*
microsoft.com, *, disallow, /*/download/confirmation.aspx?
microsoft.com, *, disallow, /*hpoptout=true$
microsoft.com, *, disallow, /*toclinksforcrawlers*
microsoft.com, *, disallow, /*mac/help.mspx?
microsoft.com, *, disallow, /*mactopia/help.mspx?
microsoft.com, *, disallow, */mediaapi/
microsoft.com, *, disallow, /blacklisted*
microsoft.com, *, disallow, /canada/library/mnp/2/aspx/
microsoft.com, *, disallow, /communities/bin.aspx?
microsoft.com, *, disallow, /communities/blogs/portalresults.mspx?
microsoft.com, *, disallow, /communities/eventdetails.mspx?
microsoft.com, *, disallow, /communities/rss.aspx*
microsoft.com, *, disallow, /*/download/confirmation.aspx?
microsoft.com, *, disallow, /*/download/registration-suggested.aspx?
microsoft.com, *, disallow, /*/download/results.aspx?
microsoft.com, *, disallow, /*/download/browse.aspx?
microsoft.com, *, disallow, /*/download/browse.aspx?
microsoft.com, *, disallow, /*/download/info.aspx?
microsoft.com, *, disallow, /*/download/thankyou.aspx
microsoft.com, *, disallow, /*/download/thankyou.aspx?
microsoft.com, *, disallow, /france/formation/centres/planning.asp?
microsoft.com, *, disallow, /france/ie/default.asp?
microsoft.com, *, disallow, /france/mnp_utility.mspx?
microsoft.com, *, disallow, /genuine/
microsoft.com, *, disallow, /germany/kleinunternehmen/euga/detail.mspx?
microsoft.com, *, disallow, /germany/kleinunternehmen/euga/results.mspx?
microsoft.com, *, disallow, /germany/library/images/mnp/
microsoft.com, *, disallow, /germany/video/de/de/related*
microsoft.com, *, disallow, /hpc/*/supported-applications.aspx?
microsoft.com, *, disallow, /ie/ie40/
microsoft.com, *, disallow, /info/customerror.htm*
microsoft.com, *, disallow, /info/smart404.asp*
microsoft.com, *, disallow, /intlkb/
microsoft.com, *, disallow, /isapi/
microsoft.com, *, disallow, /japan/directx/default.asp?
microsoft.com, *, disallow, /japan/directx/default.asp?
microsoft.com, *, disallow, /japan/enable/textview.asp?
microsoft.com, *, disallow, /japan/products/library/search.asp?
microsoft.com, *, disallow, /japan/showcase/print/default.aspx?
microsoft.com, *, disallow, /japan/terminology/query.asp?
microsoft.com, *, disallow, /*mnp_utility.mspx?
microsoft.com, *, disallow, /rus/licensing/unilateral.aspx/*
microsoft.com, *, disallow, /spain/empresas/
microsoft.com, *, disallow, /spain/medianaempresa/
microsoft.com, *, disallow, /windows/compatibility/windows-vista/
microsoft.com, *, disallow, /windows/compatibility/windows-7/
microsoft.com, *, disallow, /windows/compatibility/windows-7/*
microsoft.com, *, disallow, /windows/404.aspx?*
microsoft.com, *, disallow, /windows/campaign/meet-start.aspx
microsoft.com, *, disallow, /windows/campaign/meet-apps.aspx
microsoft.com, *, disallow, /windows/campaign/features-built-in-apps.aspx
microsoft.com, *, disallow, /ru-ru/events/platforma/materials/default.aspx?speaker*
microsoft.com, *, disallow, /de-de/corporate/rechtliche-hinweise/impressum_de.aspx
